"University","Year","Version","Dictionary","Wo","ScoreTxt","Presentage","Score","PreunpT","PreuneT","PreunvT","Preunm","Scounp","Scounm","Scounv","Scoune","Txtunp","Txtune","Txtunv","Txtunm","Preunp","Preune","Preunv","Preunm.1","Scounp.1","Scounm.1","Scounv.1","Scoune.1","Txtunp.1","Txtune.1","Txtunv.1","Txtunm.1"
"11","TAM",21,"27",12,"MANUFACTURING",5,0.833333333333333,98,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0177222222222222,0.71,1,60.4,1611.8,-0.105409249663353,0.0864107236266136,-0.800000011920929,1611.8,60.4
"12","TAM",20,"27",12,"MANUFACTURING",2,0.5,93,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0177222222222222,0.71,1,60.4,1611.8,-0.105409249663353,0.0864107236266136,-0.800000011920929,1611.8,60.4
"13","TAM",19,"27",12,"MANUFACTURING",2,0.666666666666667,27,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0177222222222222,0.71,1,60.4,1611.8,-0.105409249663353,0.0864107236266136,-0.800000011920929,1611.8,60.4
"14","TAM",18,"27",12,"MANUFACTURING",4,0.8,75,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0177222222222222,0.71,1,60.4,1611.8,-0.105409249663353,0.0864107236266136,-0.800000011920929,1611.8,60.4
"15","TAM",17,"27",12,"MANUFACTURING",3,0.75,9,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0177222222222222,0.71,1,60.4,1611.8,-0.105409249663353,0.0864107236266136,-0.800000011920929,1611.8,60.4
"16","OUL",21,"27",12,"MANUFACTURING",7,0.538461538461538,149,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.806495904922485,0.200000002980232,0.0233642340565418,0.654358974358974,0.0864107236266136,55.2,3120.2,-0.800000011920929,0.220671355724335,-0.600000023841858,3120.2,55.2
"17","OUL",20,"27",12,"MANUFACTURING",6,0.6,27,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.806495904922485,0.200000002980232,0.0233642340565418,0.654358974358974,0.0864107236266136,55.2,3120.2,-0.800000011920929,0.220671355724335,-0.600000023841858,3120.2,55.2
"18","OUL",19,"27",12,"MANUFACTURING",5,0.833333333333333,57,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.806495904922485,0.200000002980232,0.0233642340565418,0.654358974358974,0.0864107236266136,55.2,3120.2,-0.800000011920929,0.220671355724335,-0.600000023841858,3120.2,55.2
"19","OUL",18,"27",12,"MANUFACTURING",3,0.5,39,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.806495904922485,0.200000002980232,0.0233642340565418,0.654358974358974,0.0864107236266136,55.2,3120.2,-0.800000011920929,0.220671355724335,-0.600000023841858,3120.2,55.2
"20","OUL",17,"27",12,"MANUFACTURING",4,0.8,4,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.806495904922485,0.200000002980232,0.0233642340565418,0.654358974358974,0.0864107236266136,55.2,3120.2,-0.800000011920929,0.220671355724335,-0.600000023841858,3120.2,55.2
"21","MIT",21,"27",12,"MANUFACTURING",29,0.828571428571429,757,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.220671355724335,-0.600000023841858,0.0277344994127462,0.733416266172021,0.0864107236266136,411.2,83435.2,-0.800000011920929,0.0274863410741091,-1,83435.2,411.2
"22","MIT",20,"27",12,"MANUFACTURING",31,0.794871794871795,657,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.220671355724335,-0.600000023841858,0.0277344994127462,0.733416266172021,0.0864107236266136,411.2,83435.2,-0.800000011920929,0.0274863410741091,-1,83435.2,411.2
"23","MIT",19,"27",12,"MANUFACTURING",18,0.782608695652174,370,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.220671355724335,-0.600000023841858,0.0277344994127462,0.733416266172021,0.0864107236266136,411.2,83435.2,-0.800000011920929,0.0274863410741091,-1,83435.2,411.2
"24","MIT",18,"27",12,"MANUFACTURING",14,0.823529411764706,153,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.220671355724335,-0.600000023841858,0.0277344994127462,0.733416266172021,0.0864107236266136,411.2,83435.2,-0.800000011920929,0.0274863410741091,-1,83435.2,411.2
"25","MIT",17,"27",12,"MANUFACTURING",7,0.4375,119,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.220671355724335,-0.600000023841858,0.0277344994127462,0.733416266172021,0.0864107236266136,411.2,83435.2,-0.800000011920929,0.0274863410741091,-1,83435.2,411.2
"26","KIT",21,"27",12,"MANUFACTURING",22,0.709677419354839,276,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,0.806495904922485,-0.200000002980232,0.00805406545730708,0.797488223813952,0.129551351070404,452.4,67589.3,-0.73786473274231,0.806495904922485,0.200000002980232,67589.3,452.4
